ukhoId,ukhoName,ukhoLocation,gmaAddress,gmaLatitude,gmaLongitude,gmaCity,gmaCountry,gmaStatus
1328,Landsort,Sweden,"Landsorts fyr, 149 95 Nynäshamn, Sweden",58.7395982,17.8658047,,Sweden,done
5694A,Lau Lagoon,Solomon Islands,Lau Lagoon,8.4,160.817,,,done
6871,Lang Suan,Thailand,"Lang Suan District, Chumphon, Thailand",9.9133345,99.05710889999999,,Thailand,done
1167,Laukvik,Norway,"Laukvik, Norway",68.38817879999999,14.4178228,Laukvik,Norway,done
8864,Langara Point,Graham Island,"Langara, Mt Vernon, IL 62864, USA",38.3799721,-88.8630494,Mount Vernon,United States,done
6097,Launceston,Tasmania,"Launceston TAS 7250, Australia",-41.43322149999999,147.1440875,Launceston,Australia,done
1468,Langeoog,Germany,"Langeoog, Germany",53.74736919999999,7.492568200000001,,Germany,done
6707,Lautoka,Fiji Islands,"Lautoka, Fiji",-17.6169957,177.4504888,Lautoka,Fiji,done
66,Langstone Harbour,England,"Langstone Harbour, United Kingdom",50.8166667,-1,,United Kingdom,done
1478,Lauwersoog,Netherlands,"9976 Lauwersoog, Netherlands",53.4053662,6.212048299999999,Lauwersoog,Netherlands,done
7313,Lanshantou,China,"Lanshantou Residential District, Lanshan, Rizhao, Shandong, China",35.098305,119.353531,Rizhao,China,done
4285,Lavar-E Saheli,Iran,,,,,,not_found
5039,Laoang,Philippine Islands,"Laoang, Northern Samar, Philippines",12.6198618,125.0167866,Laoang,Philippines,done
4260A,Lawhah Oilfield,Saudi Arabia,,,,,,not_found
7319,Laoshan Gang,China,,,,,,not_found
8883,Lawyer Islands,Canada,"213 Davis Blvd, Tampa, FL 33606, USA",27.9269893,-82.45345859999999,Tampa,United States,done
1044,Lapominka,Russia,"Lapominka, Arkhangelskaya oblast', Russia",64.787003,40.450974,Lapominka,Russia,done
0164B,Lawyer's Creek,England,"Lawyers Rd, Virginia, USA",38.9217061,-77.3324039,,United States,done
3505,Larache,Morocco,"Larache, Morocco",35.1744271,-6.1473964,Larache,Morocco,done
6651,Laysan Island,Hawaiian Islands,"Kauō, United States",25.7678534,-171.7322061,,United States,done
