ukhoId,ukhoName,ukhoLocation,gmaAddress,gmaLatitude,gmaLongitude,gmaCity,gmaCountry,gmaStatus
9522,Bahia De Correo,Ecuador,,,,,,new
764,Baginbun Head,Ireland,,,,,,new
9407,Bahia De Los Angeles,Mexico,,,,,,new
9962,Bahia Aguirre,Argentina,,,,,,new
2107,Bahia De Los Nodales,Argentina,,,,,,new
9979,Bahia Allen Gardiner,Chile,,,,,,new
3691,Bahia De Luba (San Carlos),Equatorial Guinea,,,,,,new
9957,Bahia Almirante Brown,Argentina,,,,,,new
9549,Bahia De Talara,Peru,,,,,,new
9680,Bahia Ancud,Chile,,,,,,new
9412,Bahia De Tepoca,Mexico,,,,,,new
9528,Bahia Atacames,Ecuador,,,,,,new
9430,Bahia De Zihuatanejo,Mexico,,,,,,new
9568,Bahia Barmejo,Peru,,,,,,new
9467,Bahia Del Rincon,Costa Rica,,,,,,new
9919,Bahia Bedford,Chile,,,,,,new
9901,Bahia Dislocacion,Chile,,,,,,new
9852,Bahia Borja,Chile,,,,,,new
3753,Bahia Dos Tigres,Angola,,,,,,new
2092,Bahia Buen Suceso,Argentina,,,,,,new
2381,Bahia El Tablazo,Venezuela,,,,,,new
2115,Bahia Bustamante,Argentina,,,,,,new
9456,Bahia Elena,Costa Rica,,,,,,new
9882,Bahia Catalina,Chile,,,,,,new
2124,Bahia Engano (Puerto Rawson),Argentina,,,,,,new
9374,Bahia Colnett,Mexico,,,,,,new
2430,Bahia Espiritu Santo,Mexico (Caribbean),,,,,,new
9402,Bahia Concepcion,Mexico,,,,,,new
9889,Bahia Felipe,Chile,,,,,,new
2090,Bahia Crossley,Argentina,,,,,,new
9564,Bahia Ferrol,Peru,,,,,,new
9517,Bahia Darwin,Ecuador,,,,,,new
9861,Bahia Fortescue,Chile,,,,,,new
2509A,Bahia De Cabanas,Cuba,,,,,,new
9824,Bahia Fortuna,Chile,,,,,,new
9921,Bahia Furia,Chile,,,,,,new
9795,Bahia Portland,Chile,,,,,,new
2118,Bahia Gil,Argentina,,,,,,new
9379,Bahia Rosario,Mexico,,,,,,new
2509,Bahia Honda,Cuba,,,,,,new
9396,Bahia San Jose Del Cabo,Mexico,,,,,,new
9477,Bahia Honda (Panama),Panama,,,,,,new
9389,Bahia San Juanico,Mexico,,,,,,new
9566,Bahia Huarmey,Peru,,,,,,new
9748,Bahia San Quintin,Chile,,,,,,new
9580,Bahia Independencia,Peru,,,,,,new
9377,"Bahia San Quintin, Mexico",Mexico,,,,,,new
9970,Bahia India,Chile,,,,,,new
2099,Bahia San Sebastian,Argentina,,,,,,new
2122,Bahia Janssen,Argentina,,,,,,new
9493,Bahia San Telmo,Panama,,,,,,new
